Symbol,Name,Exchange,"1Y Return%","3Y Return%",Last,"20D Rel Str","20D %R"
SIEB,"Siebert Fin Cp",NASDAQ,256.59%,825.32%,14.78,71.20%,6.47%
SIFY,"Sify Techs Ltd Ads",NASDAQ,170.67%,30.97%,2,50.04%,30.00%
SIGA,"Siga Technologies Inc",NASDAQ,108.96%,418.52%,7.05,56.39%,35.44%
SIRI,"Sirius XM Holdings I",NASDAQ,30.68%,84.60%,7.13,54.71%,42.86%
SLCT,"Select Bancorp Inc",NASDAQ,11.25%,85.21%,13.06,45.65%,73.97%
SLP,"Simulations Plus Inc",NASDAQ,26.45%,163.60%,17.6,40.21%,87.59%
SMPL,"The Simply Good Foods Company",NASDAQ,42.54%,40.17%,16.72,71.67%,18.54%
SMTA,"Spirit Mta REIT",NYSE,20.94%,20.94%,11.02,66.75%,10.69%
SMTX,"Smtc Corp",NASDAQ,116.99%,68.26%,2.77,45.25%,53.23%
SPAR,"Spartan Motors Inc",NASDAQ,74.71%,256.81%,15.35,49.54%,17.24%
SPHS,"Sophiris Bio",NASDAQ,47.14%,267.86%,3.16,50.27%,34.17%
SRTS,"Sensus Healthcare Inc",NASDAQ,72.59%,16.24%,6.94,48.57%,59.23%
SSBI,"Summit State Bank",NASDAQ,19.62%,46.15%,15.9,58.15%,23.08%
SSFN,Stewardship,NASDAQ,17.74%,79.51%,10.9,41.99%,95.65%
STML,"Stemline Therapeutic",NASDAQ,60.20%,27.88%,16.1,41.06%,69.37%
SURF,"Surface Oncology Inc.",NASDAQ,13.13%,13.13%,14.75,45.82%,82.65%
SVA,"Sinovac Biotech Ltd",NASDAQ,10.77%,43.86%,7.7,48.95%,52.24%
SVBI,"Severn Bancorp Inc",NASDAQ,18.14%,75.98%,8.55,59.99%,33.33%
SVVC,"Firsthand Technology",NASDAQ,75.81%,15.13%,14.53,57.17%,49.07%
SXC,"Suncoke Energy Inc",NYSE,21.95%,15.00%,13.42,52.76%,37.50%
TACT,"Transact Tech Inc",NASDAQ,31.28%,56.67%,11.93,51.87%,58.00%
TAST,"Carrols Rstrnt Group",NASDAQ,23.05%,38.43%,14.95,68.74%,13.95%
TBBK,"The Bancorp Inc",NASDAQ,40.42%,12.49%,10.81,48.88%,53.19%
TGA,"Transglobe Energy Cp",NASDAQ,159.56%,16.89%,3.59,67.51%,29.19%
TLRA,"Telaria Inc",NYSE,80.80%,55.77%,4.05,44.80%,80.77%
